	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_good9_mult_conv	92.35	0.22	11.0	29.8	18.0	271.0	0.4346	0.2417	0.0359	0.2215	0.4105	0.4874	0.578	0.6213	0.6986	0.7398	0.7461	0.7484	0.7637	0.7711	0.7809	0.7944	0.7983	0.8068	0.8121	0.8246	0.8527	0.8753	0.8924	0.9742
TFm_UBER_pos_good9_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.88	11.85	13.76	17.07	20.59	25.45	29.27	31.58	30.56	27.27	26.67	29.63	32.0	31.82	31.58	35.29	35.71	45.45	44.44	50.0	-1.0
TFm_UBER_pos_good9__simp_cordo	79.88	0.41	21.0	20.2	18.0	271.0	0.4563	0.3115	0.0085	0.085	0.5763	0.6981	0.7419	0.7522	0.7566	0.764	0.7651	0.7657	0.7669	0.7678	0.7689	0.7694	0.7696	0.7701	0.7708	0.7714	0.7725	0.7734	0.7762	0.7793
TFm_UBER_pos_good9__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.37	11.85	14.81	16.05	14.71	18.18	19.51	18.42	19.44	18.18	16.67	18.52	20.83	21.74	25.0	23.53	28.57	33.33	37.5	33.33	-1.0
TFm_UBER_pos_good9_mult_linear	77.18	0.51	16.0	10.3	18.0	271.0	0.6041	0.2229	0.0767	0.452	0.6179	0.6835	0.7541	0.7798	0.8169	0.8506	0.8587	0.8708	0.8729	0.8765	0.8792	0.885	0.9055	0.9134	0.9231	0.9361	0.9551	0.9606	0.9735	0.9834
TFm_UBER_pos_good9_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.88	11.11	13.89	15.85	14.71	14.81	12.2	13.16	11.11	9.09	10.0	11.11	12.0	9.09	10.53	11.76	7.14	0.0	0.0	0.0	-1.0
TFm_UBER_pos_good9_mult_dense2	89.38	0.26	11.0	21.0	18.0	271.0	0.3949	0.223	0.0002	0.2325	0.4259	0.4865	0.5415	0.583	0.6045	0.6378	0.642	0.6453	0.6486	0.6545	0.6583	0.6657	0.6669	0.6695	0.6745	0.6939	0.7127	0.7259	0.7586	0.9932
TFm_UBER_pos_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.88	11.03	11.93	14.81	16.18	18.18	21.95	21.05	22.22	21.21	20.0	22.22	24.0	22.73	15.79	17.65	21.43	27.27	33.33	50.0	-1.0
TFm_UBER_pos_good9_mult_lstm	93.6	0.17	11.0	25.0	18.0	271.0	0.4433	0.2835	0.0053	0.1725	0.4486	0.5821	0.7099	0.7291	0.7439	0.7575	0.7612	0.7647	0.7698	0.7721	0.7743	0.7761	0.779	0.79	0.7937	0.7978	0.8078	0.8105	0.8268	0.9958
TFm_UBER_pos_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.87	11.85	14.81	14.81	16.18	18.52	19.51	21.05	22.22	24.24	23.33	25.0	24.0	27.27	26.32	23.53	28.57	36.36	33.33	50.0	-1.0
TFm_UBER_pos_good9__mult_gru	86.74	0.33	8.0	19.2	18.0	271.0	0.5033	0.2781	0.0624	0.2197	0.5223	0.6061	0.7453	0.7745	0.818	0.8471	0.8493	0.8523	0.855	0.857	0.8622	0.8653	0.8679	0.8711	0.8719	0.8751	0.8824	0.8966	0.8984	0.9127
TFm_UBER_pos_good9__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.88	11.85	13.76	16.05	17.65	21.82	17.07	18.42	19.44	21.21	20.0	18.52	16.0	18.18	21.05	23.53	28.57	36.36	33.33	50.0	-1.0
TFm_UBER_pos_reg4_mult_28	87.2	0.33	15.0	39.1	18.0	261.0	0.5761	0.2017	0.1113	0.4304	0.5832	0.6535	0.7144	0.7438	0.7692	0.8007	0.8122	0.8215	0.8317	0.8389	0.8471	0.8601	0.8639	0.8702	0.8741	0.8846	0.8878	0.8995	0.903	0.9328
TFm_UBER_pos_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.18	12.98	16.19	20.25	21.21	22.64	28.21	27.03	29.41	31.25	34.48	37.04	41.67	42.86	47.37	50.0	61.54	63.64	62.5	66.67	-1.0
TFm_UBER_pos_reg4_mult_64	86.25	0.31	9.0	15.1	18.0	261.0	0.6581	0.1324	0.3746	0.5496	0.6275	0.6885	0.7391	0.7664	0.7917	0.8187	0.8249	0.8288	0.8339	0.839	0.8437	0.8484	0.8575	0.8615	0.8763	0.8881	0.8928	0.8984	0.9101	0.9647
TFm_UBER_pos_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.18	13.74	17.14	23.08	24.62	23.08	25.0	24.32	23.53	18.75	13.79	15.38	12.5	14.29	15.79	18.75	23.08	18.18	25.0	33.33	-1.0
TFm_UBER_pos_reg4_mult_128	92.34	0.21	9.0	35.2	18.0	261.0	0.5361	0.1603	0.2077	0.416	0.522	0.551	0.6032	0.6471	0.6715	0.6928	0.7025	0.7098	0.7243	0.7266	0.739	0.7686	0.7824	0.7964	0.8189	0.8402	0.8588	0.8934	0.9208	0.9636
TFm_UBER_pos_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.18	13.08	15.38	20.25	24.62	26.92	28.21	27.03	26.47	28.12	31.03	34.62	37.5	38.1	42.11	50.0	61.54	63.64	62.5	83.33	-1.0
